iter	Passed	Remaining
0	138	138291
1	140	69962
2	141	47067
3	142	35605
4	144	28718
5	145	24125
6	147	20855
7	148	18403
8	149	16494
9	151	14959
10	152	13701
11	153	12659
12	155	11780
13	156	11017
14	157	10357
15	159	9795
16	160	9285
17	162	8850
18	163	8456
19	165	8094
20	166	7773
21	168	7484
22	169	7217
23	171	6974
24	173	6750
25	174	6538
26	175	6340
27	177	6152
28	178	5978
29	179	5814
30	181	5664
31	182	5521
32	183	5385
33	185	5257
34	186	5138
35	187	5028
36	189	4921
37	190	4820
38	191	4724
39	193	4637
40	194	4553
41	195	4469
42	197	4389
43	198	4314
44	199	4243
45	201	4174
46	202	4108
47	204	4048
48	205	3986
49	206	3926
50	207	3869
51	209	3816
52	210	3763
53	211	3712
54	213	3667
55	214	3620
56	216	3574
57	217	3530
58	218	3490
59	220	3448
60	221	3411
61	223	3375
62	224	3340
63	226	3310
64	227	3279
65	229	3246
66	230	3213
67	231	3175
68	232	3142
69	234	3112
70	235	3080
71	236	3050
72	238	3022
73	239	2996
74	240	2968
75	241	2941
76	243	2915
77	244	2890
78	245	2866
79	247	2841
80	248	2819
81	249	2796
82	251	2774
83	252	2753
84	253	2727
85	254	2706
86	255	2681
87	256	2661
88	257	2640
89	259	2621
90	260	2603
91	261	2585
92	263	2568
93	264	2550
94	265	2533
95	267	2515
96	268	2498
97	269	2481
98	270	2465
99	272	2449
100	273	2434
101	274	2414
102	275	2398
103	277	2386
104	278	2373
105	279	2358
106	280	2344
107	282	2330
108	283	2318
109	285	2306
110	286	2294
111	287	2282
112	289	2271
113	290	2258
114	291	2246
115	293	2233
116	294	2222
117	295	2210
118	296	2197
119	298	2186
120	299	2176
121	301	2166
122	301	2152
123	303	2142
124	304	2132
125	306	2122
126	307	2113
127	308	2100
128	309	2091
129	311	2083
130	312	2075
131	314	2068
132	316	2059
133	317	2050
134	318	2041
135	319	2032
136	321	2023
137	322	2014
138	323	2006
139	325	1997
140	326	1989
141	327	1981
142	329	1973
143	330	1964
144	331	1956
145	333	1949
146	334	1941
147	335	1933
148	337	1925
149	339	1921
150	341	1919
151	342	1911
152	344	1904
153	345	1898
154	346	1890
155	348	1882
156	349	1875
157	350	1868
158	352	1862
159	353	1855
160	354	1848
161	356	1842
162	357	1836
163	358	1829
164	360	1822
165	361	1817
166	363	1811
167	364	1804
168	365	1798
169	367	1793
170	368	1787
171	370	1781
172	371	1775
173	372	1769
174	374	1764
175	375	1759
176	377	1754
177	378	1749
178	380	1745
179	381	1739
180	382	1731
181	383	1725
182	385	1720
183	386	1714
184	387	1708
185	389	1703
186	390	1698
187	392	1693
188	393	1688
189	394	1683
190	396	1678
191	397	1672
192	398	1667
193	400	1662
194	401	1656
195	402	1651
196	404	1647
197	405	1642
198	406	1637
199	408	1632
200	409	1626
201	410	1621
202	411	1617
203	413	1611
204	414	1606
205	415	1601
206	416	1597
207	418	1592
208	419	1587
209	420	1582
210	422	1578
211	423	1573
212	424	1569
213	425	1564
214	427	1559
215	428	1556
216	430	1553
217	431	1548
218	433	1544
219	434	1540
220	435	1536
221	436	1531
222	438	1526
223	439	1522
224	440	1518
225	443	1517
226	444	1513
227	445	1509
228	447	1505
229	448	1501
230	449	1497
231	451	1493
232	452	1489
233	453	1485
234	454	1481
235	456	1476
236	457	1472
237	458	1468
238	459	1464
239	461	1460
240	462	1456
241	463	1452
242	465	1448
243	466	1444
244	467	1441
245	469	1437
246	470	1433
247	471	1429
248	472	1425
249	474	1422
250	475	1418
251	476	1414
252	477	1410
253	479	1406
254	480	1403
255	481	1399
256	482	1396
257	484	1392
258	485	1389
259	486	1385
260	488	1382
261	489	1378
262	490	1375
263	492	1373
264	494	1370
265	495	1367
266	497	1364
267	498	1361
268	499	1357
269	500	1354
270	502	1350
271	503	1347
272	504	1344
273	506	1340
274	507	1337
275	508	1335
276	510	1331
277	511	1328
278	513	1325
279	514	1323
280	516	1320
281	517	1317
282	518	1314
283	520	1312
284	521	1309
285	523	1306
286	524	1304
287	526	1301
288	527	1298
289	529	1296
290	530	1293
291	532	1290
292	533	1287
293	535	1284
294	536	1281
295	537	1278
296	538	1275
297	540	1272
298	541	1270
299	543	1267
300	544	1264
301	545	1260
302	546	1258
303	548	1255
304	549	1251
305	550	1248
306	551	1245
307	553	1242
308	554	1240
309	555	1237
310	557	1234
311	558	1231
312	559	1228
313	560	1225
314	562	1222
315	563	1219
316	564	1216
317	565	1213
318	567	1211
319	568	1208
320	570	1205
321	571	1203
322	572	1200
323	574	1197
324	575	1195
325	577	1193
326	578	1190
327	579	1187
328	581	1185
329	582	1182
330	583	1179
331	584	1176
332	586	1174
333	587	1171
334	588	1168
335	590	1165
336	591	1163
337	592	1160
338	594	1158
339	595	1155
340	596	1153
341	598	1151
342	599	1148
343	601	1146
344	602	1143
345	603	1140
346	605	1138
347	606	1136
348	607	1133
349	609	1131
350	610	1128
351	611	1126
352	613	1123
353	614	1121
354	615	1119
355	617	1116
356	618	1114
357	620	1112
358	621	1109
359	622	1107
360	624	1104
361	625	1102
362	626	1100
363	628	1097
364	629	1095
365	630	1092
366	632	1090
367	633	1088
368	635	1085
369	636	1083
370	637	1081
371	638	1078
372	640	1076
373	641	1073
374	643	1071
375	644	1069
376	645	1067
377	647	1065
378	648	1062
379	650	1060
380	651	1058
381	652	1056
382	654	1054
383	655	1052
384	657	1049
385	658	1047
386	659	1045
387	661	1042
388	662	1040
389	663	1038
390	665	1035
391	666	1033
392	667	1031
393	669	1029
394	670	1026
395	671	1024
396	672	1021
397	673	1019
398	675	1016
399	676	1014
400	677	1012
401	678	1009
402	680	1007
403	681	1005
404	683	1003
405	684	1001
406	685	999
407	686	996
408	688	994
409	689	992
410	690	990
411	692	987
412	693	985
413	694	983
414	696	981
415	697	979
416	699	977
417	700	975
418	701	973
419	703	971
420	704	969
421	706	967
422	707	964
423	708	962
424	709	960
425	711	958
426	712	956
427	713	954
428	715	951
429	716	949
430	717	947
431	719	945
432	720	943
433	721	941
434	722	939
435	724	936
436	725	934
437	726	932
438	727	929
439	729	927
440	730	925
441	731	923
442	732	921
443	734	919
444	736	918
445	737	916
446	739	914
447	740	912
448	741	910
449	742	908
450	744	906
451	745	904
452	747	902
453	748	900
454	750	898
455	751	896
456	752	894
457	754	892
458	755	890
459	756	888
460	758	886
461	759	884
462	761	882
463	762	881
464	764	879
465	766	878
466	767	876
467	768	874
468	770	872
469	771	869
470	772	867
471	774	866
472	775	864
473	776	862
474	778	860
475	779	858
476	781	856
477	782	854
478	783	852
479	785	850
480	786	848
481	787	846
482	789	844
483	790	842
484	792	841
485	793	839
486	794	837
487	795	834
488	797	833
489	798	831
490	799	829
491	801	827
492	802	825
493	803	823
494	805	821
495	806	819
496	807	817
497	809	815
498	810	813
499	811	811
500	812	809
501	814	808
502	815	806
503	817	804
504	818	802
505	819	800
506	821	798
507	822	796
508	823	794
509	824	792
510	826	790
511	827	789
512	829	787
513	830	785
514	831	783
515	833	781
516	834	779
517	835	777
518	836	775
519	838	773
520	839	771
521	840	769
522	842	767
523	843	766
524	844	764
525	845	762
526	847	760
527	848	758
528	849	756
529	851	754
530	852	752
531	853	751
532	855	749
533	856	747
534	858	745
535	859	744
536	861	742
537	862	740
538	863	738
539	864	736
540	866	735
541	867	733
542	869	731
543	870	729
544	872	728
545	873	726
546	874	724
547	876	722
548	877	720
549	879	719
550	880	717
551	881	715
552	883	713
553	884	711
554	885	709
555	886	708
556	888	706
557	889	704
558	890	702
559	892	700
560	893	699
561	894	697
562	895	695
563	897	693
564	898	691
565	899	689
566	900	687
567	901	685
568	903	684
569	904	682
570	905	680
571	907	678
572	908	676
573	909	674
574	910	673
575	911	671
576	913	669
577	914	667
578	915	665
579	917	664
580	918	662
581	919	660
582	921	658
583	922	657
584	923	655
585	924	653
586	925	651
587	927	649
588	928	647
589	929	646
590	931	644
591	932	642
592	933	640
593	934	638
594	935	637
595	937	635
596	938	633
597	939	631
598	941	629
599	942	628
600	943	626
601	945	624
602	946	622
603	947	621
604	948	619
605	950	617
606	951	616
607	952	614
608	953	612
609	955	610
610	956	608
611	957	607
612	959	605
613	960	603
614	961	601
615	962	600
616	964	598
617	965	596
618	966	595
619	967	593
620	969	591
621	970	589
622	971	588
623	973	586
624	974	584
625	975	583
626	976	581
627	978	579
628	979	577
629	980	576
630	982	574
631	983	572
632	984	571
633	986	569
634	987	567
635	988	565
636	990	564
637	991	562
638	993	561
639	994	559
640	995	557
641	997	556
642	998	554
643	1000	552
644	1001	551
645	1002	549
646	1004	547
647	1005	546
648	1006	544
649	1008	542
650	1009	541
651	1010	539
652	1011	537
653	1013	535
654	1014	534
655	1015	532
656	1016	530
657	1018	529
658	1019	527
659	1021	525
660	1022	524
661	1023	522
662	1024	520
663	1026	519
664	1027	517
665	1028	516
666	1030	514
667	1031	512
668	1033	511
669	1034	509
670	1036	508
671	1037	506
672	1038	504
673	1040	503
674	1041	501
675	1042	499
676	1044	498
677	1045	496
678	1046	494
679	1048	493
680	1049	491
681	1050	489
682	1052	488
683	1053	486
684	1054	485
685	1056	483
686	1057	481
687	1059	480
688	1060	478
689	1061	477
690	1063	475
691	1064	473
692	1066	472
693	1067	470
694	1069	469
695	1070	467
696	1072	466
697	1073	464
698	1074	462
699	1075	461
700	1077	459
701	1078	457
702	1079	456
703	1080	454
704	1082	452
705	1082	450
706	1084	449
707	1085	447
708	1087	446
709	1088	444
710	1090	443
711	1091	441
712	1093	439
713	1094	438
714	1095	436
715	1097	435
716	1098	433
717	1100	432
718	1101	430
719	1102	428
720	1104	427
721	1105	425
722	1106	423
723	1107	422
724	1108	420
725	1111	419
726	1113	418
727	1114	416
728	1116	414
729	1117	413
